id,genre,track_name,artist_name,valence,energy
5MYfpFJYm8WNFGssR6H2Oz,acoustic,No One's Gonna Love You - Live from Spotify Sweden,Band of Horses,0.192,0.188
0EUSbTvyZfo9QOcxunL9Ro,acoustic,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.297,0.442
1PUh1GENlvlgu0dW28I6tY,acoustic,"Hello, I'm In Delaware",City and Colour,0.388,0.458
5jclmAX2XQp5G3b6K30UJl,acoustic,Clairvoyant,The Story So Far,0.137,0.352
5iR5GQnY5ds7mxizUUVyfl,acoustic,Killing Me Softly,C. J. Johnson,0.357,0.291
4I2GqMe7L2ccMpUbnDzYLH,acoustic,Somebody To Love,Justin Bieber,0.636,0.839
3U4isOIWM3VvDubwSI3y7a,acoustic,All of Me,John Legend,0.331,0.264
6xB3h7R5zGRo0obZk0XTjY,acoustic,Working Together,Los Colognes,0.865,0.869
2Uj2BjZXVv9WvYFEVl8TDi,acoustic,Silent Way,Milo Greene,0.0605,0.296
4E0lSJ6c5unoku9UIZoJSl,acoustic,Dust in the Wind,Kansas,0.419,0.251
4JjPLqECP5E48MXcEc2wzA,acoustic,Tainted Love,Various Artists,0.0724,0.239
1CbPLR6Xjo2nc0Pf13N0RS,acoustic,Pink Moon,Nick Drake,0.446,0.255
7lWF2mVr1KKbVnaT2nSlPo,acoustic,Fall For You,Secondhand Serenade,0.382,0.442
1ZXSLHLp5AJnCp12UXdYiO,acoustic,Sex On Fire,Alex Cornell,0.0568,0.408
2bw7QmVHt0BqgE71kFmNmm,acoustic,The Years,Jack and the Weatherman,0.764,0.404
28O4PwkH8bzARStxeL4pxL,afrobeat,Sexy Bitch (feat. Akon),David Guetta,0.853,0.633
3vHxHY8tZwJcBrgrugLTlC,afrobeat,Na Ye,Toto Bona Lokua,0.839,0.482
0zhM3UpJc3Sj8ll8Wy12TC,afrobeat,Seyni,Cheikh Lô,0.921,0.387
3HpqoffTzMozYYZru9qapf,afrobeat,Ilham,Souad Massi,0.657,0.868
1LclSylnnHUKdrCZjS0V6M,afrobeat,Dirty Money,Antibalas,0.893,0.956
5eDb1qBsq3rElJLJMo46FB,afrobeat,Johnny,Yemi Alade,0.864,0.711
1D7QWJ0nQ4OrLHnEJEYOhC,afrobeat,4-4-44,Youssou N'Dour,0.468,0.77
7qPVJBJmsMRs6RwMffZgnr,afrobeat,Chop My Money (I Don't Care) [feat. Mayd],P-Square,0.872,0.846
2bWs6hFVGp5YvDYCW1pW0Z,afrobeat,Sexy Ladies,Various Artists,0.0,0.0
71uMowNE0zT9M0FI8MoGBm,afrobeat,Fanta bourama,Various Artists,0.651,0.657
06IY4e7fT02EwpeixYzVQ3,afrobeat,Nou pas bouger,Salif Keita,0.912,0.744
2co20n8jqPgdykzpFSV5ZM,afrobeat,Shakara/Lady (Part Two),Various Artists,0.922,0.816
1imfHroOMdTqspOIGnVtOs,afrobeat,If Love Is A Crime,2Baba,0.75,0.7
1yQ0Acn8X864xo7TWZETiW,afrobeat,Ashawo RMX,Various Artists,0.0,0.0
4ASD9pZQe6T1lwNfgIQTFT,afrobeat,Kukere Remix,Iyanya,0.86,0.93
688iWTzQ8rf7P4mKU9UJSr,alt-rock,Web In Front,Archers Of Loaf,0.942,0.797
1xNhYOLcGR14v5JJLe7aaZ,alt-rock,Zone,John Frusciante,0.202,0.616
37EJtTS7jT5WUyXGZzrwnI,alt-rock,Santa Monica,Everclear,0.387,0.942
